timestamp_unix,agent,rules,games,seed,oracle_endgame,mean,min,p05,p50,p95,max,upper_bonus_rate,yahtzee_bonus_rate
1776576796,hybrid-v2,hasbro,1000,1,0,228.343000,103,154,221,333,608,0.377000,0.058000
1776657113,hybrid,buddyboardgames,1,42,2,255.000000,255,255,255,255,255,0.000000,0.000000
1776657137,hybrid,buddyboardgames,100,1,0,232.470000,129,163,224,356,473,0.400000,0.060000
1776657138,hybrid,buddyboardgames,20,1,2,247.500000,131,175,233,356,473,0.400000,0.150000
1776659075,auto,buddyboardgames,20,1,0,281.700000,171,204,271,400,507,0.750000,0.150000
1776660829,heuristic,buddyboardgames,100,1,0,213.100000,101,141,205,290,389,0.490000,0.040000
1776660872,exact-table,buddyboardgames,100,1,0,254.130000,145,171,253,378,523,0.640000,0.100000
1776661227,exact-table,buddyboardgames,100,1,0,254.130000,145,171,253,378,523,0.640000,0.100000
1776661635,heuristic,buddyboardgames,100,1,0,230.730000,108,150,228,338,504,0.410000,0.060000
1776661680,heuristic,buddyboardgames,100,1,0,229.990000,131,162,218,328,504,0.400000,0.050000
1776661723,heuristic,buddyboardgames,100,1,0,233.200000,110,156,223,328,504,0.400000,0.060000
1776661765,heuristic,buddyboardgames,100,1,0,231.920000,110,150,225,328,504,0.420000,0.060000
1776661808,heuristic,buddyboardgames,100,1,0,232.240000,131,156,218,328,504,0.410000,0.060000
